北京北 VAP beijingbei
北京东 BOP beijingdong
北京 BJP beijing
北京南 VNP beijingnan
北京西 BXP beijingxi
广州南 IZQ guangzhounan
重庆北 CUW chongqingbei
重庆 CQW chongqing
重庆南 CRW chongqingnan
广州东 GGQ guangzhoudong
上海 SHH shanghai
上海南 SNH shanghainan
上海虹桥 AOH shanghaihongqiao
上海西 SXH shanghaixi
天津北 TBP tianjinbei
天津 TJP tianjin
天津南 TIP tianjinnan
天津西 TXP tianjinxi
长春 CCT changchun
长春南 CET changchunnan
长春西 CRT changchunxi
成都东 ICW chengdudong
成都南 CNW chengdunan
成都 CDW chengdu
长沙 CSQ changsha
长沙南 CWQ changshanan
福州 FZS fuzhou
福州南 FYS fuzhounan
贵阳 GIW guiyang
广州 GZQ guangzhou
广州西 GXQ guangzhouxi
哈尔滨 HBB haerbin
哈尔滨东 VBB haerbindong
哈尔滨西 VAB haerbinxi
合肥 HFH hefei
合肥西 HTH hefeixi
呼和浩特东 NDC huhehaotedong
呼和浩特 HHC huhehaote
海口东 HMQ haikoudong
海口 VUQ haikou
杭州东 HGH hangzhoudong
杭州 HZH hangzhou
杭州南 XHH hangzhounan
济南 JNK jinan
济南东 JAK jinandong
济南西 JGK jinanxi
昆明 KMM kunming
昆明西 KXM kunmingxi
拉萨 LSO lasa
兰州东 LVJ lanzhoudong
兰州 LZJ lanzhou
兰州西 LAJ lanzhouxi
南昌 NCG nanchang
南京 NJH nanjing
南京南 NKH nanjingnan
南宁 NNZ nanning
石家庄北 VVP shijiazhuangbei
石家庄 SJP shijiazhuang
沈阳 SYT shenyang
沈阳北 SBT shenyangbei
沈阳东 SDT shenyangdong
太原北 TBV taiyuanbei
太原东 TDV taiyuandong
太原 TYV taiyuan
武汉 WHN wuhan
乌鲁木齐南 WMR wulumuqinan
西安北 EAY xianbei
西安 XAY xian
西安南 CAY xiannan
西宁 XNO xining
银川 YIJ yinchuan
郑州 ZZF zhengzhou
广州北 GBQ guangzhoubei
贵阳北 KQW guiyangbei
合肥北城 COH hefeibeicheng
合肥南 ENH hefeinan
南昌西 NXG nanchangxi
南宁东 NFZ nanningdong
太原南 TNV taiyuannan
郑州东 ZAF zhengzhoudong
重庆西 CXW chongqingxi
沈阳南 SOT shenyangnan
昆明南 KOM kunmingnan
乌鲁木齐 WAR wulumuqi
济南东 MDK jinandong
石家庄东 SXP shijiazhuangdong
贵阳东 KEW guiyangdong
